SENDER_WALLET,APTOS_WALLET,TX_HASH,NETWORK,SOURCE_TIMESTAMP_UTC,CLUSTER_NUMBER,CLUSTER_SIZE
0x91f09f2c82647fa3c65fcfaa014413c5068f46f1,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xeea37e87e7e706bb0261333d5531cb0b969478476e2d4af8bb7f20470f753eb8,Arbitrum,2022-11-03 12:15:29.000,1,92
0x589a38b4acbbb4237259b344c7ebc92a4b289086,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xfb0509d6e23c0e7fb4e99d473de3f9a7df4e301b3d26db7bb8dc0dc69c0c51cc,Arbitrum,2022-11-03 12:16:10.000,1,92
0x45caeab1f05a8c6d24535512f8a714f0c7d979d3,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0x68bb38d2d9577f228c00d14040c2346ea0fb77b9d74940bc0be5f9e586f96b57,Arbitrum,2022-11-03 12:17:11.000,1,92
0xf3a7d160d222c8c72c0376735dfbeac216a96628,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xc8e36dbdd5fbb87fd344ccb43568b292692a10162189cea1fcdf2a86912bc73b,Arbitrum,2022-11-03 12:17:48.000,1,92
0xe1246f7cb3ed7ef14f9e8ba350069c0ed8091084,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xd39791c8ad4930b8e5432416f666171a50ef4e4e0db7c2a530215858116914e4,Arbitrum,2022-11-03 12:19:17.000,1,92
0x13fc8263deb51c98835cb6b311130a36b01cef95,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0x5a2954454cb7f39be38413a92493a163a8725fcd82f24df2fbda3fb23df023cb,Arbitrum,2022-11-03 12:19:53.000,1,92
0xacef89c6469a05f99eebe43a698bd5b5748cddfb,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0x52033209d977f54707111730d3344151903aefeb6915542db05cde67e401d847,Arbitrum,2022-11-03 12:20:34.000,1,92
0xf17e9e65df6dfa4c21ce6a9044a01ad75e8508e6,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xac6cb7b4492d9d1e2330691328cbc010669f613b9f52d7a4dfdd4c8458c9ee32,Arbitrum,2022-11-03 12:21:04.000,1,92
0x0bf873552dd7b5c6a44ca04cd7882fbc4c5a1083,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0x0b9438ae0795d65db7630a84b5a3f3aba91868a6eadece55ea0cc1d73fb842e2,Arbitrum,2022-11-03 12:21:51.000,1,92
0x346771f0b6281909a9aa8d773189a72c94f98de1,0x10aae93c79a243c86d961da58da0105ab5c079cf60c414f0d896940d31f1e46d,0xa85a5e8d24ac6a26fdf24aebf40aeed0b248763e34e35c7284dc9e10709d0322,Arbitrum,2022-11-03 12:22:33.000,1,92
